,id,name,description,genre,category,venue,address,date,time,url,artist,price
47,50,Cuba Live,"AddressBryusov per., 8/10, building 2",latino,Music,???? ????????????,,7 ????? ? 20:30,,https://www.afisha.ru/concert/2121434,,
48,51,Markscheider Kunst. ???? ???????? ? ??????,"On January 26, Markscheider Kunst will celebrate the birthday of frontman Sergei Efremenko on the stage of the Moscow club Mumiy Troll Music Bar. The band's music can be heard both in foreign cinema and in domestic cinema ('Piter FM', 'Oxygen'), they have",latino,Music,????? ?????? Music Bar,,26 ?????? ? 20:00,,https://www.afisha.ru/concert/2160952,,
49,52,???. ????? – ??? ?????,"Argentine tango stars
participants of the world's largest tango shows
Facundo GAJO (Argentina)
Luis SCVICCIARINI (Argentina)
Juan ROSALES (Argentina)
Evgenia SAMOILOVA, Yulia OSINA,
Alexander DESYATOV, Artem MAYOROV
Emil SALES and Olga REUTOVA, voc",latino,Music,??? ??????,,3 ??????? ? 19:00,,https://www.afisha.ru/concert/2153491,,
50,53,? ????? ??????: Hot Havana ?rchestra,"January 20, at 20:00. In Latin rhythm. Hot Havana Orchestra. Concert in the greenhouse. The famous Cuban orchestra Hot Havana Orchestra with a hot show in the tropics of VDNKh! Sunny Cuban music, Cuban jazz, Latin American hits and English-language covers",latino,Music,???????? ?14 «???????????»,,19 ??????? ? 17 ?????,,https://www.afisha.ru/concert/2159340,,
51,54,?????? ??????,Hot program of Latin music hits,latino,Music,????-???? ????? ??????? ?? ???????,,29 ?????? ? 19:00,,https://www.afisha.ru/concert/2157621,,
52,55,?????????? ?????,"We invite all fans of the passionate and refined genre of tango to the Argentine tango concert.
The program includes the most popular melodies, magnificent tangos of the Golden Age period, tangos by Carlos Gardel, works by the unsurpassed king of Tango A",latino,Music,??????????,,28 ?????? ? 18:00,,https://www.afisha.ru/concert/2160596,,
53,56,????????? «????-2: ????? Soundtrack»,"In 2020, 20 years have passed since the release of the cult film 'Brother 2', and in 2022 it will be 25 years since the release of the film 'Brother'. During this time, people, the country, interests have changed, but the film is still popular, and its mu",rock,Music,Music Media Dome,,4 ????? ? 18:00,,https://www.afisha.ru/concert/2101467,,
54,57,Cuba Live,"Highly professional Cuban music, original and traditional, authentic. Sleep, bolero, cha-cha-cha, rumba performed by Cuba Live - a project of brothers Danilo and Yoel Moreira.

The different characters of the brothers laid the foundation for two directi",latino,Music,???? ??????? ???????,,13 ??????? ? 20:00,,https://www.afisha.ru/concert/2157786,,
55,58,Concord orchestra. ????????????? ???-??? ???????? ????,"The world's first dancing symphony orchestra CONCORD ORCHESTRA presents a new Symphonic rock show 'The Birth of the World'. You will be presented with the powerful sound of instruments in the hands of professional musicians: the richness of violins, the h",rock,Music,???,,?????? - ???????,,https://www.afisha.ru/concert/2123100,,
56,59,Cuba Live,"AddressBryusov per., 8/10, building 2",latino,Music,???? ????????????,,7 ????? ? 20:30,,https://www.afisha.ru/concert/2121434,,
57,60,??????? ???-???? ?? ???????????: Atomic Cellos,"queen. Metallica. Muse. Led Zeppelin. B2. And even - Kish!
What's this? Is it rock paradise?
No - better: on stage - Atomic Cellos. A cello ensemble that wins hearts. Step aside, Two cellos, we've got someone tougher.
Get ready for a fantastic show and",rock,Music,Stand Up,,?????? - ???,,https://www.afisha.ru/concert/2154009,,
58,61,Markscheider Kunst. ???? ???????? ? ??????,"On January 26, Markscheider Kunst will celebrate the birthday of frontman Sergei Efremenko on the stage of the Moscow club Mumiy Troll Music Bar. The band's music can be heard both in foreign cinema and in domestic cinema ('Piter FM', 'Oxygen'), they have",latino,Music,????? ?????? Music Bar,,26 ?????? ? 20:00,,https://www.afisha.ru/concert/2160952,,
59,62,«??????? ?????????? ???»: «???»,"Yuri Shevchuk's team 'DDT' set the standard for poetic and melancholy Russian rock, releasing a lot of 'folk', familiar to everyone hits - 'Don't shoot!', 'What is autumn?', 'That's all ...' and others. For a long time it seemed that the piercing guitar l",rock,Music,????????-?????,,17 ???? ? 20:00,,https://www.afisha.ru/concert/2070357,,
60,63,???. ????? – ??? ?????,"Argentine tango stars
participants of the world's largest tango shows
Facundo GAJO (Argentina)
Luis SCVICCIARINI (Argentina)
Juan ROSALES (Argentina)
Evgenia SAMOILOVA, Yulia OSINA,
Alexander DESYATOV, Artem MAYOROV
Emil SALES and Olga REUTOVA, voc",latino,Music,??? ??????,,3 ??????? ? 19:00,,https://www.afisha.ru/concert/2153491,,
61,64,«??????? ???-???? ? ????????????? ?????????»,"Masterpieces of world rock from the repertoire of Queen, Deep Purple, Scorpions, Europe, Nirvana and other cult musicians will be performed by the Olympic Orchestra.

The program includes songs such as We Are The Champions, Show Must Go On, Smoke On The",rock,Music,?????????? ??? «?????????»,,28 ?????? ? 17 ?????,,https://www.afisha.ru/concert/2107688,,
62,65,? ????? ??????: Hot Havana ?rchestra,"January 20, at 20:00. In Latin rhythm. Hot Havana Orchestra. Concert in the greenhouse. The famous Cuban orchestra Hot Havana Orchestra with a hot show in the tropics of VDNKh! Sunny Cuban music, Cuban jazz, Latin American hits and English-language covers",latino,Music,???????? ?14 «???????????»,,19 ??????? ? 17 ?????,,https://www.afisha.ru/concert/2159340,,
63,66,???????? ???????,"Vladimir Kuzmin is a legend of Russian rock and pop music, a multi-instrumentalist, vocalist, poet and composer, on whose compositions a whole generation grew up. Every Russian music lover knows his songs by heart. His whole life is a stage, creativity an",rock,Music,??????-????-????,,?????? - ????,,https://www.afisha.ru/concert/2150163,,
64,67,?????? ??????,Hot program of Latin music hits,latino,Music,????-???? ????? ??????? ?? ???????,,29 ?????? ? 19:00,,https://www.afisha.ru/concert/2157621,,
65,68,«? ????? ???? – ??? ???????!»: ??????? ??????,"On March 7, 2023, the long-awaited concert of Nikolai Noskov will take place at the Moscow International House of Music due to numerous requests from the audience.
 
Honored Artist of Russia, five-time winner of the Golden Gramophone music award, laurea",rock,Music,??? ??????,,7 ????? ? 19:00,,https://www.afisha.ru/concert/2097876,,
66,69,?????????? ?????,"We invite all fans of the passionate and refined genre of tango to the Argentine tango concert.
The program includes the most popular melodies, magnificent tangos of the Golden Age period, tangos by Carlos Gardel, works by the unsurpassed king of Tango A",latino,Music,??????????,,28 ?????? ? 18:00,,https://www.afisha.ru/concert/2160596,,
67,70,«#??????????????30»: ????? ????????,"Anniversary concert, 30 years of rock and roll!",rock,Music,????????-?????,,8 ???? ? 19:00,,https://www.afisha.ru/concert/2127394,,
68,71,Cuba Live,"Highly professional Cuban music, original and traditional, authentic. Sleep, bolero, cha-cha-cha, rumba performed by Cuba Live - a project of brothers Danilo and Yoel Moreira.

The different characters of the brothers laid the foundation for two directi",latino,Music,???? ??????? ???????,,13 ??????? ? 20:00,,https://www.afisha.ru/concert/2157786,,
69,72,Cuba Live,"AddressBryusov per., 8/10, building 2",latino,Music,???? ????????????,,7 ????? ? 20:30,,https://www.afisha.ru/concert/2121434,,
70,73,?????????? ??????????,Concerts of Konstantin Nikolsky in an acoustic format at the Academy Jazz Club invariably attract a full house among sincere fans of the talent of the legendary rock musician. The author and performer of songs that have long become classics of Russian roc,rock,Music,??????-????-????,,??????? - ???,,https://www.afisha.ru/concert/2150170,,
71,74,Markscheider Kunst. ???? ???????? ? ??????,"On January 26, Markscheider Kunst will celebrate the birthday of frontman Sergei Efremenko on the stage of the Moscow club Mumiy Troll Music Bar. The band's music can be heard both in foreign cinema and in domestic cinema ('Piter FM', 'Oxygen'), they have",latino,Music,????? ?????? Music Bar,,26 ?????? ? 20:00,,https://www.afisha.ru/concert/2160952,,
72,75,«?????????? ???????»: ???? ????????? & The No Smoking Orchestra,"The triumphant end of the concert activity of the legendary director Emir Kusturica!
 
March 13, 2023 at 19:00 on the stage of the Moscow International House of Music Emir Kusturica and The No Smoking Orchestra will perform in Moscow for the last time. ",rock,Music,??? ??????,,13 ????? ? 19:00,,https://www.afisha.ru/concert/2115238,,
73,76,???. ????? – ??? ?????,"Argentine tango stars
participants of the world's largest tango shows
Facundo GAJO (Argentina)
Luis SCVICCIARINI (Argentina)
Juan ROSALES (Argentina)
Evgenia SAMOILOVA, Yulia OSINA,
Alexander DESYATOV, Artem MAYOROV
Emil SALES and Olga REUTOVA, voc",latino,Music,??? ??????,,3 ??????? ? 19:00,,https://www.afisha.ru/concert/2153491,,
74,77,???????? ???????,"The legend of Russian rock and roll, People's Artist of Russia VLADIMIR KUZMIN and the group 'Dynamik', February 28, 2023 in the club '16 Tons' on Presnya, will perform their imperishable hits and new compositions!
 
Vladimir Kuzmin is a legendary music",rock,Music,16 ????,,28 ??????? ? 20:00,,https://www.afisha.ru/concert/2125547,,
75,78,? ????? ??????: Hot Havana ?rchestra,"January 20, at 20:00. In Latin rhythm. Hot Havana Orchestra. Concert in the greenhouse. The famous Cuban orchestra Hot Havana Orchestra with a hot show in the tropics of VDNKh! Sunny Cuban music, Cuban jazz, Latin American hits and English-language covers",latino,Music,???????? ?14 «???????????»,,19 ??????? ? 17 ?????,,https://www.afisha.ru/concert/2159340,,
76,79,?????? ????????: ????,"CHAIF's traditional concert 'Winter Acoustics' returns to its fans after a long pause due to the pandemic and the anniversary tour.

This year, acoustics was given the name 'Following'. During the concert CHAIF will tell his story of roads and waiting ro",rock,Music,Crocus City Hall,,25 ??????? ? 19:00,,https://www.afisha.ru/concert/2157025,,
77,80,?????? ??????,Hot program of Latin music hits,latino,Music,????-???? ????? ??????? ?? ???????,,29 ?????? ? 19:00,,https://www.afisha.ru/concert/2157621,,
78,81,XX ??? ??????: ???????,"It was a long journey of twenty years, which led the group through all the thorns that fall to the lot of musicians - doubts and losses, creative differences and line-up changes. One thing remained unchanged - fidelity to style and the desire to conquer p",rock,Music,Crocus City Hall,,24 ????? ? 20:00,,https://www.afisha.ru/concert/2157772,,
79,82,?????????? ?????,"We invite all fans of the passionate and refined genre of tango to the Argentine tango concert.
The program includes the most popular melodies, magnificent tangos of the Golden Age period, tangos by Carlos Gardel, works by the unsurpassed king of Tango A",latino,Music,??????????,,28 ?????? ? 18:00,,https://www.afisha.ru/concert/2160596,,
80,83,???????? ??????? ? «???????»,"Even at school, the concerts of Kuzmin and his teenage rock band were particularly successful. At these concerts, covers of hits by the Beatles, Led Zeppelin, Rolling Stones and other English-speaking bands were performed. Having entered the music school,",rock,Music,???? ????????????,,??????? - ??????,,https://www.afisha.ru/concert/2149836,,
81,84,Cuba Live,"Highly professional Cuban music, original and traditional, authentic. Sleep, bolero, cha-cha-cha, rumba performed by Cuba Live - a project of brothers Danilo and Yoel Moreira.

The different characters of the brothers laid the foundation for two directi",latino,Music,???? ??????? ???????,,13 ??????? ? 20:00,,https://www.afisha.ru/concert/2157786,,
82,85,Wildways,"The Bryansk metalcore band Wildways is the standard of professionalism in everything. Well-produced clips, tracks mixed according to world standards, glossy photosets - this is about them. Whether the sincerity and youthful aggression inherent in the genr",rock,Music,Atmosphere,,27 ??? ? 19:00,,https://www.afisha.ru/concert/2155150,,
83,86,Cuba Live,"AddressBryusov per., 8/10, building 2",latino,Music,???? ????????????,,7 ????? ? 20:30,,https://www.afisha.ru/concert/2121434,,
84,87,?????????? ??????????,"Konstantin Nikolsky is one of the key Russian performers of father-rock. This is how you can freely translate the American concept of dad rock, which has been used for more than a year to designate rock music that has abandoned rebellion in favor of prett",rock,Music,???? ????????????,,???????  ????  ??????,,https://www.afisha.ru/concert/2149838,,
85,88,???? ??????,"Nike Borzov became one of the main hitmakers of 2000 - after the release of the album 'Superman', his relaxed and witty songs 'Horse' and 'Three Words' got into massive rotation. All-Russian fame turned out to be a bright episode in the artist's career, b",rock,Music,Lustra Bar,,5 ????? ? 20:00,,https://www.afisha.ru/concert/2159047,,
86,89,????? ?????,"The rock music of the early 2000s definitely had its own charisma - nervous, cold, desperate. One of its collective examples was, for example, the soundtrack to the film by Alexei Balabanov 'Brother-2'. It was then that Semantic Hallucinations, Bi-2, Sans",rock,Music,1930 Moscow,,9 ?????? ? 20:00,,https://www.afisha.ru/concert/2160063,,
87,90,???? ? ????????????? ?????????,"Rave music is increasingly infecting other styles - the well-deserved alternative team 'Slot' has already released the disc '200 kW' with the active use of energetic beats and powerful electronic hum. However, the core of their work is still simple melodi",rock,Music,Crocus City Hall,,12 ??? ? 20:00,,https://www.afisha.ru/concert/2160899,,
88,91,????,"At the end of the 2000s, Mara got into the rotation of Nashe Radio as a strong and independent woman with a guitar - about this was her breakthrough hit 'Cold Men'. For the next decade, the singer was in search of her identity, in order to eventually come",rock,Music,16 ????,,4 ??????? ? 21:00,,https://www.afisha.ru/concert/2161493,,
89,92,?????? ????,"The main storytellers of the country 'Brothers Grim' again on the stage of Mumiy Troll Music Bar - February 4! The group is almost a quarter of a century old! However, this circumstance does not prevent the team from releasing their famous radiant fairy t",rock,Music,????? ?????? Music Bar,,11 ??????? ? 20:00,,https://www.afisha.ru/concert/2161636,,
90,93,???. ????? – ??? ?????,"Argentine tango stars
participants of the world's largest tango shows
Facundo GAJO (Argentina)
Luis SCVICCIARINI (Argentina)
Juan ROSALES (Argentina)
Evgenia SAMOILOVA, Yulia OSINA,
Alexander DESYATOV, Artem MAYOROV
Emil SALES and Olga REUTOVA, voc",latino,Music,??? ??????,,3 ??????? ? 19:00,,https://www.afisha.ru/concert/2153491,,
91,94,??? & Co,"For almost 30 years now, every concert of Chizh & Co has been held in one breath. Amazing songs that have stood the test of time are still sung along by the whole audience. On March 7 and 8, Chizh and So will perform in the very center of the capital on t",rock,Music,???????? Hall,,7 ? 8 ?????,,https://www.afisha.ru/concert/2161677,,
92,95,? ????? ??????: Hot Havana ?rchestra,"January 20, at 20:00. In Latin rhythm. Hot Havana Orchestra. Concert in the greenhouse. The famous Cuban orchestra Hot Havana Orchestra with a hot show in the tropics of VDNKh! Sunny Cuban music, Cuban jazz, Latin American hits and English-language covers",latino,Music,???????? ?14 «???????????»,,19 ??????? ? 17 ?????,,https://www.afisha.ru/concert/2159340,,
93,96,?????????? ??????????,"Konstantin Nikolsky will sing for you: “About the unfortunate and happy, about good and evil” at his solo concert. Nikolsky is not only a singer and guitarist, but also the author of many songs that are included in the golden fund of Russian rock culture,",rock,Music,Glastonberry,,7 ????? ? 20:00,,https://www.afisha.ru/concert/2159187,,
94,97,?????? ??????,Hot program of Latin music hits,latino,Music,????-???? ????? ??????? ?? ???????,,29 ?????? ? 19:00,,https://www.afisha.ru/concert/2157621,,
95,98,???????? ? ????????????? ?????????: ??????????. ??????,Famous rock musician Alexei Gorshenev and his eponymous project 'Gorshenev' will present a unique show in the spring of 2023 - for the first time the hits of the cult group 'Kukryniksy' will be performed accompanied by a symphony orchestra. The concert wi,rock,Music,Crocus City Hall,,19 ??? ? 20:00,,https://www.afisha.ru/concert/2161573,,
96,99,?????????? ?????,"We invite all fans of the passionate and refined genre of tango to the Argentine tango concert.
The program includes the most popular melodies, magnificent tangos of the Golden Age period, tangos by Carlos Gardel, works by the unsurpassed king of Tango A",latino,Music,??????????,,28 ?????? ? 18:00,,https://www.afisha.ru/concert/2160596,,
97,100,????????? «????-2: ????? Soundtrack»,"In 2020, 20 years have passed since the release of the cult film 'Brother 2', and in 2022 it will be 25 years since the release of the film 'Brother'. During this time, people, the country, interests have changed, but the film is still popular, and its mu",rock,Music,Music Media Dome,,4 ????? ? 18:00,,https://www.afisha.ru/concert/2101467,,
